subject_id,thing_id,step_function,cloud_watch_rule,cron_expression,schedule,status,input,description
77109,DSS2-77109-353627079602689,Create_Daily_BasalCrCf_Profile,DSS2_77109_Profile_Parameter_Schedule,0 13 ? Jan-June MON 2021,Every Monday 13:00 GMT,ENABLED,"{""thing_id"":""DSS2-77109-353627079602689"", ""subject_id"": ""77109"", ""request_length"": 41340, ""request_interval"": 5 }",thing_id:DSS2-77109-353627079602689 ; Schedule: Every MONDAY 13:00 GMT - 08:00 EST -  09:00 EDT ; Dynamo DB data-type 'profile'
77110,DSS2-77110-353626070755298,Calculate_Engagement_Metric,DSS2_77110_Engagement_Metric_Schedule,48 5 * * ? *,Every day 5:48 GMT,ENABLED,"{""thing_id"":""DSS2-77110-353626070755298"", ""subject_id"":""77110""}",thing_id:DSS2-77110-353626070755298 ; Schedule: 05:48 GMT - 00:48 EST - 01:48 EDT ; Dynamo DB data-type 'engagement_metric'
77110,DSS2-77110-353626070755298,PredictAdvisoryParams,DSS2_77110_Advisory_Parameter_Schedule,45 8 * * ? *,Every day 8:45 GMT,ENABLED,"{""thing_id"":""DSS2-77110-353626070755298"", ""subject_id"":""77110""}",thing_id:DSS2-77110-353626070755298 ; Schedule: 08:45 GMT - 03:45 EST - 04:45 EDT ; Dynamo DB data-type 'advisory'
77110,DSS2-77110-353626070755298,Create_Daily_Basal_Profile,DSS2_77110_Daily_Basal_Schedule,30 19 * * ? *,Every day 19:30 GMT,ENABLED,"{""thing_id"":""DSS2-77110-353626070755298"", ""subject_id"": ""77110"", ""request_length"": 2850, ""request_interval"": 5 }",thing_id:DSS2-77110-353626070755298 ; Schedule: 19:30 GMT - 14:30 EST - 15:30 EDT ; Dynamo DB data-type 'dailyoptbasal'
77110,DSS2-77110-353626070755298,Create_Daily_SI_Params,DSS2_77110_Daily_SIParams_Schedule,50 19 * * ? *,Every day 19:50 GMT,ENABLED,"{""thing_id"":""DSS2-77110-353626070755298"", ""subject_id"": ""77110"", ""request_length"": 2870, ""request_interval"": 5 }",thing_id:DSS2-77110-353626070755298 ; Schedule: 19:50 GMT - 14:50 EST - 15:50 EDT ; Dynamo DB data-type 'dailysiparams'
77110,DSS2-77110-353626070755298,Create_Daily_BasalCrCf_Profile,DSS2_77110_Profile_Parameter_Schedule,30 14 ? Jan-June MON 2021,Every Monday 14:30 GMT,ENABLED,"{""thing_id"":""DSS2-77110-353626070755298"", ""subject_id"": ""77110"", ""request_length"": 41430, ""request_interval"": 5 }",thing_id:DSS2-77110-353626070755298 ; Schedule: Every MONDAY 14:30 GMT - 09:30 EST -  10:30 EDT ; Dynamo DB data-type 'profile'
77111,DSS2-77111-353626070748897,Calculate_Engagement_Metric,DSS2_77111_Engagement_Metric_Schedule,50 5 * * ? *,Every day 5:50 GMT,ENABLED,"{""thing_id"":""DSS2-77111-353626070748897"", ""subject_id"":""77111""}",thing_id:DSS2-77111-353626070748897 ; Schedule: 05:50 GMT -  00:50 EST - 01:50 EDT ; Dynamo DB data-type 'engagement_metric'
77111,DSS2-77111-353626070748897,PredictAdvisoryParams,DSS2_77111_Advisory_Parameter_Schedule,0 9 * * ? *,Every day 9:00 GMT,ENABLED,"{""thing_id"":""DSS2-77111-353626070748897"", ""subject_id"":""77111""}",thing_id:DSS2-77111-353626070748897 ; Schedule: 09:00 GMT - 04:00 EST - 05:00 EDT  ; Dynamo DB data-type 'advisory'
77111,DSS2-77111-353626070748897,Create_Daily_Basal_Profile,DSS2_77111_Daily_Basal_Schedule,0 20 * * ? *,Every day 20:00 GMT,ENABLED,"{""thing_id"":""DSS2-77111-353626070748897"", ""subject_id"": ""77111"", ""request_length"": 2880, ""request_interval"": 5 }",thing_id:DSS2-77111-353626070748897 ; Schedule: 20:00 GMT - 15:00 EST - 16:00 EDT ; Dynamo DB data-type 'dailyoptbasal'
77111,DSS2-77111-353626070748897,Create_Daily_SI_Params,DSS2_77111_Daily_SIParams_Schedule,20 20 * * ? *,Every day 20:20 GMT,ENABLED,"{""thing_id"":""DSS2-77111-353626070748897"", ""subject_id"": ""77111"", ""request_length"": 2900, ""request_interval"": 5 }",thing_id:DSS2-77111-353626070748897 ; Schedule: 20:20 GMT - 15:20 EST - 16:20 EDT ; Dynamo DB data-type 'dailysiparams'
