Brand Name,Meal Type,item_name,Calories,Protein_values,Total Fat_values,Total Carbohydrate_values,carbs_calories,protein_calories,fat_calories,f_c_p,pct_fat,pct_carbs,pct_protein,Source URL
Kroger,"Franks, Wieners & Sausages","Italian Sausage, Mild",240,14.0,18.0,5.0,20.0,56.0,162.0,238.0,0.680672268907563,0.08403361344537816,0.23529411764705882,https://www.calorieking.com/us/en/foods/f/calories-in-franks-wieners-sausages-italian-sausage-mild/mHRe-g4TQLWDKxlTfqSPJw
Kroger,Canned Meals,Crab Select Leg Style,90,9.0,0.0,13.0,52.0,36.0,0.0,88.0,0.0,0.5909090909090909,0.4090909090909091,https://www.calorieking.com/us/en/foods/f/calories-in-canned-meals-crab-select-leg-style/f8eZNSPiSN-qeNWKbw786Q
Kroger,Fish,Oven Ready Breaded Coconut Shrimp with Dipping Sauce,350,12.0,21.0,27.0,108.0,48.0,189.0,345.0,0.5478260869565217,0.3130434782608696,0.1391304347826087,https://www.calorieking.com/us/en/foods/f/calories-in-fish-oven-ready-breaded-coconut-shrimp-with-dipping-sauce/jNyGKDqNRr6qxVxS8s7s6g
Kroger,Crackers,Saltines Unsalted Tops,54,0.0,1.5,10.0,40.0,0.0,13.5,53.5,0.2523364485981308,0.7476635514018691,0.0,https://www.calorieking.com/us/en/foods/f/calories-in-crackers-saltines-unsalted-tops/UoGndINdShqbpsKhPokdMw
Kroger,Mayonnaise,"Classic Mayo, Real Mayonnaise",100,0.0,11.0,0.0,0.0,0.0,99.0,99.0,1.0,0.0,0.0,https://www.calorieking.com/us/en/foods/f/calories-in-mayonnaise-classic-mayo-real-mayonnaise/np-AqEpeS56_txHCpn_qHw
Kroger,"Franks, Wieners & Sausages",Beef Smoked Sausage,180,7.0,18.0,1.0,4.0,28.0,162.0,194.0,0.8350515463917526,0.020618556701030927,0.14432989690721648,https://www.calorieking.com/us/en/foods/f/calories-in-franks-wieners-sausages-beef-smoked-sausage/MV0M4fkMRqmMJBm3T-giAQ
Kroger,Yogurts,"Low-Fat, Plain",150,13.0,4.0,17.0,68.0,52.0,36.0,156.0,0.23076923076923078,0.4358974358974359,0.3333333333333333,https://www.calorieking.com/us/en/foods/f/calories-in-yogurts-low-fat-plain/x57jx9l-RCizkUSBwOUBZg
Kroger,Honeys,"Clover Honey, Grade A, 100% Pure",60,0.0,0.0,17.0,68.0,0.0,0.0,68.0,0.0,1.0,0.0,https://www.calorieking.com/us/en/foods/f/calories-in-honeys-clover-honey-grade-a-100-pure/rRcJAao-QXieZXAt8I4Arg
Kroger,Cheese,Colby Monterey Jack,100,7.0,8.0,0.5,2.0,28.0,72.0,102.0,0.7058823529411765,0.0196078431372549,0.27450980392156865,https://www.calorieking.com/us/en/foods/f/calories-in-cheese-colby-monterey-jack/lthMIsxQS-6EZSGfu_hnyQ
Kroger,Canned Vegetables,"Pickled Beets, Sliced",20,0.0,0.0,4.0,16.0,0.0,0.0,16.0,0.0,1.0,0.0,https://www.calorieking.com/us/en/foods/f/calories-in-canned-vegetables-pickled-beets-sliced/_IkvV75BRUK4NqS1Klkrwg
Kroger,Salad Dressings,Lite Ranch,70,0.0,6.0,3.0,12.0,0.0,54.0,66.0,0.8181818181818182,0.18181818181818182,0.0,https://www.calorieking.com/us/en/foods/f/calories-in-salad-dressings-lite-ranch/r8MM2BxZQle_nmo0GAOXNA
Kroger,Packaged Meals,Noodles & Sauce Chicken Flavor As Packaged,210,5.0,1.5,42.0,168.0,20.0,13.5,201.5,0.06699751861042183,0.8337468982630273,0.09925558312655088,https://www.calorieking.com/us/en/foods/f/calories-in-packaged-meals-noodles-sauce-chicken-flavor-as-packaged/u-SnmsFDT9uMBIL-IIotmQ
Kroger,Frozen Meals,Meals Made Simple Beef Pot Roast with Gravy,290,25.0,20.0,2.0,8.0,100.0,180.0,288.0,0.625,0.027777777777777776,0.3472222222222222,https://www.calorieking.com/us/en/foods/f/calories-in-frozen-meals-meals-made-simple-beef-pot-roast-with-gravy/VS2DoMhjRlqaa9K0r8dC9Q
